# baffles/0/place_rel_mean baffles/0/xlen_rel_mean baffles/0/ylen_rel_mean baffles/0/around_number_mean baffles/0/joint_place_mean baffles/0/joint_angle_mean baffles/0/lean_place_mean baffles/0/lean_angle_mean baffles/0/turn_place_mean baffles/0/turn_angle_mean baffles/0/twist_mean baffles/0/helix_mean baffles/0/curl_mean baffles/0/curl_bump_mean baffles/fidgetsurface/0/alpha1_mean baffles/fidgetsurface/0/beta1_mean baffles/0/place_rel_std baffles/0/xlen_rel_std baffles/0/ylen_rel_std baffles/0/around_number_std baffles/0/joint_place_std baffles/0/joint_angle_std baffles/0/lean_place_std baffles/0/lean_angle_std baffles/0/turn_place_std baffles/0/turn_angle_std baffles/0/twist_std baffles/0/helix_std baffles/0/curl_std baffles/0/curl_bump_std baffles/fidgetsurface/0/alpha1_std baffles/fidgetsurface/0/beta1_std overall_std
8.000000000000000444e-01 1.700000000000000122e-01 9.999999999999999167e-02 4.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999996739e-03 1.666666666666666574e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.666666666666666519e+00 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 5.999999999999999289e+01 3.333333333333333148e-01 5.999999999999999289e+01 1.199999999999999858e+02 1.199999999999999858e+02 1.666666666666666572e+02 6.666666666666666297e-01 2.666666666666666519e+00 1.666666666666666519e+00 1.000000000000000000e+00
7.620842681337154367e-01 2.294016574059605518e-01 1.911623423837295055e-01 4.218777648706003802e+00 4.378338879052653398e-01 -4.200708644048669171e+00 4.297789032027341527e-01 4.131029318185561294e+00 6.575066851624438158e-01 -2.773233262427592827e+00 3.225427097175116842e+01 6.382069248973576236e+01 9.367146631170159665e+00 -1.063928518718941230e-01 2.435790979193449002e-01 3.833251052163285655e-01 1.587277132481930975e-01 2.872066185625501977e-01 2.848928444811726357e-01 2.553985045493330386e+00 3.322560589132789732e-01 1.140743169402514354e+02 3.180849115220407697e-01 5.674003880157385993e+01 3.283512346298549378e-01 5.828116167777669432e+01 1.148543742246895505e+02 1.183598098297764238e+02 1.590573794954695472e+02 6.410687954648657261e-01 2.552925530709212243e+00 1.585345123348987917e+00 9.610652955043491596e-01
8.126036075121367830e-01 2.427925312834308125e-01 1.926930487761940036e-01 3.690133706247280099e+00 4.636451312349743614e-01 3.733008651542733247e+01 4.366101918979903296e-01 -5.600372633297461711e+00 6.200726665895324174e-01 -1.235668625359056705e+01 7.971414667007440391e-01 1.055278585938086024e+02 5.407672572161772706e+01 -2.474840885115449363e-01 9.017540606760139354e-01 2.281764654111106299e-05 1.605166666812015142e-01 2.905254384270166690e-01 2.930574148693216863e-01 2.570567826151096469e+00 3.326037766429046361e-01 1.189864185630825659e+02 3.191118928871686800e-01 5.826672775182012032e+01 3.256129527508466737e-01 6.000000000000000000e+01 1.179287026311442474e+02 1.175879596551233988e+02 1.629106722108880945e+02 6.437721876252947562e-01 2.637726448378084232e+00 1.638850524240555551e+00 9.801879969499178724e-01
8.510485547363031422e-01 1.818772270848349470e-01 2.197475086853739601e-01 3.326605100860786202e+00 5.205374687758824725e-01 3.758436141931952079e+01 3.908192862100697829e-01 -3.098158138444403775e+01 7.360731405352299861e-01 -1.918712292417265886e+01 1.404727456395121443e+01 1.424960723856299580e+02 2.585059995080196771e+01 5.163976648961717507e-03 2.011538157611740818e+00 6.728789687250564810e-01 1.666666666666666574e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.666666666666666519e+00 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 6.000000000000000000e+01 3.333333333333333148e-01 6.000000000000000000e+01 1.200000000000000000e+02 1.199999999999999858e+02 1.666666666666666572e+02 6.666666666666666297e-01 2.666666666666666075e+00 1.666666666666666519e+00 1.048720240054214159e+00
7.875477259765393256e-01 1.278331968117043804e-01 1.058134614219993358e-01 1.884818705863673616e+00 5.494859860172666144e-01 7.202968510563196958e+01 4.160871511499140141e-01 -5.090556394052393330e+01 7.774037549822940818e-01 -4.026747284166123109e+01 5.026244103126651197e+01 1.652900178841237846e+02 7.650476750462281927e+01 -6.850131413709469042e-02 8.876521061780535682e-01 1.218077778599846894e+00 1.666666666666666574e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.666666666666666519e+00 3.333333333333333148e-01 1.199999999999999716e+02 3.333333333333332593e-01 5.999999999999999289e+01 3.333333333333333148e-01 5.999999999999999289e+01 1.199999999999999858e+02 1.199999999999999858e+02 1.666666666666666288e+02 6.666666666666665186e-01 2.666666666666666075e+00 1.666666666666666519e+00 1.147704336495738664e+00
6.805057813806780764e-01 1.000590435887898366e-01 1.038941813792103180e-01 1.788183968931995826e+00 4.146305090768705459e-01 7.150824781849827616e+01 5.497220141971204121e-01 -5.526675334879055868e+01 7.181282706873239885e-01 -3.472749766741446109e+01 5.486783140661881930e+01 1.687428839685444188e+02 1.304653123992675319e+02 5.795257219468379767e-02 4.995122307191886546e-01 1.341907917598600841e+00 1.666666666666666852e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.666666666666666963e+00 3.333333333333332593e-01 1.199999999999999858e+02 3.333333333333333703e-01 5.999999999999999289e+01 3.328707473543899287e-01 5.999999999999998579e+01 1.199999999999999858e+02 1.199999999999999858e+02 1.666666666666666288e+02 6.666666666666665186e-01 2.666666666666666519e+00 1.666666666666666297e+00 1.178292486398229144e+00
6.818630404795655853e-01 1.833936782246551322e-01 1.216002210211793583e-01 1.757798388460011907e+00 2.634987914002805409e-01 3.558201909342922420e+01 4.848494788458858062e-01 -5.911434414205911736e+01 6.429628015099170257e-01 -6.461096231300017223e+01 6.252183706747995018e+01 2.024397724182624643e+02 1.775490944481080078e+02 7.909564499774980606e-02 2.445404851389593404e+00 1.057829927550188565e+00 1.666666666666666574e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.666666666666666519e+00 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333703e-01 5.999999999999999289e+01 3.333333333333333148e-01 5.999999999999999289e+01 1.199999999999999716e+02 1.199999999999999716e+02 1.666666666666666572e+02 6.666666666666666297e-01 2.666666666666666519e+00 1.666666666666666297e+00 1.253291950928752341e+00
7.432467228958496985e-01 1.374703107494950616e-01 1.251047282081889922e-01 1.243180656470994627e+00 3.252661073047140028e-01 1.092307857741570132e+01 4.212320096392530577e-01 -4.508857683155053309e+01 6.281935590491878330e-01 -4.813132296183137271e+01 1.049347080295346473e+02 1.785581329729650690e+02 2.039450407887939321e+02 1.852843787817187726e-02 1.767150515210066608e+00 1.294498707599527787e+00 1.509871741597963446e-01 2.738318408258944014e-01 2.703288655607524738e-01 2.372968758942513023e+00 3.107990307300180777e-01 1.123424549888031123e+02 3.007266307378441139e-01 5.463866307325928062e+01 3.070779481390062404e-01 5.311904164839611298e+01 1.101786758915813778e+02 1.088940915619963334e+02 1.529608934598020369e+02 6.399251159883186935e-01 2.404028067964866011e+00 1.527547243708765379e+00 1.146016509499566016e+00
7.628844454832828248e-01 1.871765133346436349e-01 1.247839724891749713e-01 7.736768641217440790e-01 3.975890961550536118e-01 -2.711327341574478922e+01 3.666073560131947739e-01 -4.402979242424889605e+01 6.779173008446177651e-01 -5.590150641133370613e+01 3.383530267890535015e+01 1.816940933104980616e+02 1.386775691672727362e+02 2.652543156584676320e-01 2.377718266208812548e+00 1.649158495540437253e+00 1.415726368459738482e-01 2.562189635226284623e-01 2.494134441981639139e-01 2.275070284049341751e+00 2.940379185518597893e-01 1.086090687733801019e+02 2.862293496371723367e-01 5.198420923095495283e+01 2.966775550582159693e-01 5.158930192311496654e+01 1.101543277406480712e+02 1.044433322248918898e+02 1.492349223140497543e+02 6.146708465148376099e-01 2.287211132315668305e+00 1.471527214250510474e+00 1.095479149850834721e+00
7.534711061337006077e-01 2.524250409882248802e-01 1.969365844036047031e-01 9.330407891155744204e-01 4.586532013423950116e-01 3.171535248929636452e+01 3.732825643749466682e-01 -5.141902405449700808e+01 6.953702638046294071e-01 -8.986005370126622438e+01 1.651289067204211491e+01 2.111270735783749899e+02 1.930798815033136009e+02 3.198823635765670748e-01 1.405246386345079479e+00 1.668101005576112517e+00 1.510029414723225161e-01 2.645641332834846593e-01 2.670808376160212494e-01 2.474392403863227674e+00 3.152190147966461575e-01 1.170386703852899615e+02 3.115372184158756719e-01 5.490053852194036210e+01 3.169702946140707800e-01 5.700178982846906450e+01 1.187278284978933698e+02 1.147238747841908264e+02 1.590538220917148919e+02 6.636932645700779343e-01 2.451539111586269915e+00 1.582043692650594746e+00 1.174411791432084406e+00
