# baffles/0/place_rel_mean baffles/0/xlen_rel_mean baffles/0/ylen_rel_mean baffles/0/around_number_mean baffles/0/joint_place_mean baffles/0/joint_angle_mean baffles/0/lean_place_mean baffles/0/lean_angle_mean baffles/0/turn_place_mean baffles/0/turn_angle_mean baffles/0/twist_mean baffles/0/helix_mean baffles/0/curl_mean baffles/0/curl_bump_mean baffles/fidgetsurface/0/alpha1_mean baffles/fidgetsurface/0/beta1_mean baffles/0/place_rel_std baffles/0/xlen_rel_std baffles/0/ylen_rel_std baffles/0/around_number_std baffles/0/joint_place_std baffles/0/joint_angle_std baffles/0/lean_place_std baffles/0/lean_angle_std baffles/0/turn_place_std baffles/0/turn_angle_std baffles/0/twist_std baffles/0/helix_std baffles/0/curl_std baffles/0/curl_bump_std baffles/fidgetsurface/0/alpha1_std baffles/fidgetsurface/0/beta1_std overall_std
4.000000000000000000e+00 4.722222222222222099e-01 2.777777777777777346e-01 1.250000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.999999999999998369e-03 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.000000000000000000e+00
3.810421340668577184e+00 6.372268261276681223e-01 5.310065066214707530e-01 1.318368015220626077e+00 1.094584719763163294e+00 -2.917158780589353476e-02 1.074447258006835382e+00 5.737540719702168002e-02 1.643766712906109317e+00 -3.851712864482767507e-02 2.239879928593831171e-01 4.431992534009427942e-01 4.683573315585079500e-02 -1.329910648398676398e-01 7.611846809979527784e-02 1.916625526081642827e-01 7.936385662409654040e-01 7.977961626737504197e-01 7.913690124477016363e-01 7.981203267166656623e-01 8.306401472831973498e-01 7.921827565295238571e-01 7.952122788051018132e-01 7.880560944663036471e-01 8.208780865746373445e-01 8.094605788580095940e-01 7.975998210047885451e-01 8.219431238178918075e-01 7.952868974773477095e-01 8.013359943310821576e-01 7.977892283466287981e-01 7.926725616744939584e-01 9.610652955043491596e-01
4.063018037560683915e+00 6.744236980095299483e-01 5.352584688227610688e-01 1.153166783202274948e+00 1.159112828087435876e+00 2.592367119126898212e-01 1.091525479744975824e+00 -7.778295324024252222e-02 1.550181666473831044e+00 -1.716206424109801010e-01 5.535704629866277857e-03 7.328323513458930849e-01 2.703836286080886220e-01 -3.093551106394311634e-01 2.817981439612543548e-01 1.140882327055553149e-05 8.025833334060075153e-01 8.070151067417128399e-01 8.140483746370046347e-01 8.033024456722175355e-01 8.315094416072615902e-01 8.262945733547399918e-01 7.977797322179216444e-01 8.092601076641683377e-01 8.140323818771166842e-01 8.333333333333333703e-01 8.189493238273906073e-01 8.165830531605791087e-01 8.145533610544405390e-01 8.047152345316184174e-01 8.242895151181512947e-01 8.194252621202777753e-01 9.801879969499178724e-01
4.255242773681515267e+00 5.052145196800970073e-01 6.104097463482609509e-01 1.039564094018995632e+00 1.301343671939706015e+00 2.610025098563855672e-01 9.770482155251744016e-01 -4.302997414506116169e-01 1.840182851338074910e+00 -2.664878183912869347e-01 9.755051780521677152e-02 9.895560582335414246e-01 1.292529997540098341e-01 6.454970811202146233e-03 6.286056742536689779e-01 3.364394843625282405e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333332593e-01 1.048720240054214159e+00
3.937738629882696184e+00 3.550922133658454549e-01 2.939262817277759066e-01 5.890058455823979910e-01 1.373714965043166369e+00 5.002061465668886653e-01 1.040217877874785035e+00 -7.070217213961657032e-01 1.943509387455734982e+00 -5.592704561341838021e-01 3.490447293837952158e-01 1.147847346417526282e+00 3.825238375231140853e-01 -8.562664267136836649e-02 2.773912831806417123e-01 6.090388892999234471e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 1.147704336495738664e+00
3.402528906903390382e+00 2.779417877466384135e-01 2.885949482755841844e-01 5.588074902912486541e-01 1.036576272692176337e+00 4.965850542951268931e-01 1.374305035492801030e+00 -7.675937965109800309e-01 1.795320676718309860e+00 -4.823263564918675028e-01 3.810266069904084674e-01 1.171825583114891822e+00 6.523265619963376505e-01 7.244071524335474188e-02 1.560975720997464511e-01 6.709539587993004206e-01 8.333333333333333703e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.321768683859747107e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333331483e-01 1.178292486398229144e+00
3.409315202397827704e+00 5.094268839573753427e-01 3.377783917254981727e-01 5.493119963937537209e-01 6.587469785007012968e-01 2.470973548154807298e-01 1.212123697114714460e+00 -8.210325575285988275e-01 1.607407003774792509e+00 -8.973744765694467995e-01 4.341794240797218762e-01 1.405831752904600496e+00 8.877454722405400123e-01 9.886955624718725411e-02 7.641890160592478276e-01 5.289149637750942823e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333331483e-01 1.253291950928752341e+00
3.716233614479248271e+00 3.818619743041529180e-01 3.475131339116360740e-01 3.884939551471858210e-01 8.131652682617849237e-01 7.585471234316459865e-02 1.053080024098132617e+00 -6.262302337715351941e-01 1.570483897622969360e+00 -6.684905966921024234e-01 7.287132502051016925e-01 1.239987034534479671e+00 1.019725203943969705e+00 2.316054734771484658e-02 5.522345360031457595e-01 6.472493537997638935e-01 7.549358707989816120e-01 7.606440022941509671e-01 7.509135154465346185e-01 7.415527371695352921e-01 7.769975768250451109e-01 7.801559374222438725e-01 7.518165768446102293e-01 7.588703204619344778e-01 7.676948703475156011e-01 7.377644673388349394e-01 7.651296936915373825e-01 7.562089691805300440e-01 7.648044672990101933e-01 7.999063949853982836e-01 7.512587712390206285e-01 7.637736218543826894e-01 1.146016509499566016e+00
3.814422227416414124e+00 5.199347592628988934e-01 3.466221458032637814e-01 2.417740200380450177e-01 9.939727403876339462e-01 -1.882866209426721504e-01 9.165183900329868516e-01 -6.115248947812346181e-01 1.694793252111544302e+00 -7.764098112685237085e-01 2.349673797146204779e-01 1.261764536878458687e+00 6.933878458363637032e-01 3.315678945730844984e-01 7.430369581902539489e-01 8.245792477702186263e-01 7.078631842298692689e-01 7.117193431184123398e-01 6.928151227726774275e-01 7.109594637654192972e-01 7.350947963796494733e-01 7.542296442595840533e-01 7.155733740929307585e-01 7.220029059854854436e-01 7.416938876455398955e-01 7.165180822654856341e-01 7.649606093100560500e-01 7.253009182284159140e-01 7.461746115702487803e-01 7.683385581435470124e-01 7.147534788486462620e-01 7.357636071252552368e-01 1.095479149850834721e+00
3.767355530668502706e+00 7.011806694117357353e-01 5.470460677877907463e-01 2.915752465986169994e-01 1.146633003355987501e+00 2.202455033978914234e-01 9.332064109373665595e-01 -7.141531118680140011e-01 1.738425659511573462e+00 -1.248056301406475388e+00 1.146728518891813597e-01 1.466160233183159578e+00 9.653994075165679423e-01 3.998529544707088434e-01 4.391394957328373372e-01 8.340505027880562583e-01 7.550147073616125803e-01 7.349003702319018005e-01 7.418912156000589952e-01 7.732476262072586204e-01 7.880475369916153383e-01 8.127685443422913991e-01 7.788430460396891242e-01 7.625074794713939674e-01 7.924257365351768945e-01 7.916915253954036613e-01 8.244988090131484260e-01 7.966935748902140846e-01 7.952691104585744020e-01 8.296165807125973624e-01 7.661059723707093205e-01 7.910218463252973731e-01 1.174411791432084406e+00
