# bottom_clearance_mean xplace_mean yplace_mean impeller/height_ratio_mean impeller/diameter_ratio_mean impeller/0/place_rel_mean impeller/0/xlen_rel_mean impeller/0/ylen_rel_mean impeller/0/joint_place_mean impeller/0/joint_angle_mean impeller/0/lean_place_mean impeller/0/lean_angle_mean impeller/0/turn_place_mean impeller/0/turn_angle_mean impeller/0/twist_mean impeller/0/helix_mean impeller/0/curl_mean impeller/0/around_number_mean impeller/0/repeat_number_mean impeller/0/repeat_heights_equal_mean impeller/0/repeat_angles_bias_mean impeller/fidgetsurface/0/alpha1_mean impeller/fidgetsurface/0/beta1_mean bottom_clearance_std xplace_std yplace_std impeller/height_ratio_std impeller/diameter_ratio_std impeller/0/place_rel_std impeller/0/xlen_rel_std impeller/0/ylen_rel_std impeller/0/joint_place_std impeller/0/joint_angle_std impeller/0/lean_place_std impeller/0/lean_angle_std impeller/0/turn_place_std impeller/0/turn_angle_std impeller/0/twist_std impeller/0/helix_std impeller/0/curl_std impeller/0/around_number_std impeller/0/repeat_number_std impeller/0/repeat_heights_equal_std impeller/0/repeat_angles_bias_std impeller/fidgetsurface/0/alpha1_std impeller/fidgetsurface/0/beta1_std overall_std
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.285700000000000898e-02 3.350000000000000200e-01 5.969999999999999751e-01 8.060000000000000497e-01 3.000000000000000062e-03 5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 9.000000000000000000e+01 0.000000000000000000e+00 9.999999999999996739e-03 2.666666666666666630e-01 5.333333333333333259e-01 5.333333333333333259e-01 2.666666666666666630e-01 2.666666666666666630e-01 3.333333333333333148e-01 3.333333333333333148e-01 3.333333333333333148e-01 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 1.199999999999999858e+02 1.199999999999999858e+02 1.199999999999999858e+02 1.666666666666666572e+02 5.333333333333333037e+00 2.666666666666666519e+00 1.333333333333333259e+00 5.999999999999999289e+01 2.666666666666666519e+00 1.666666666666666519e+00 1.000000000000000000e+00
3.044108932561634950e-01 3.449285950643117549e-02 -1.404925955060827847e-01 1.920297512447832200e-01 3.186767958960456393e-01 5.611576048010114004e-01 8.172928775474693763e-01 1.096511337599326286e-01 5.243304505212486033e-01 -4.133734734981040937e+00 6.056219090599527233e-01 3.800656190695630698e+01 4.275156139915621267e-01 1.399237573699102555e+01 2.166276052160537446e+01 3.193258566297802048e+01 8.658948542496540313e+01 6.533191324145978029e+00 1.298819282791639829e+00 1.532291359997425939e+00 8.563662156146497750e+01 1.732617937592957347e-01 1.122719301924703927e-01 2.396400840689808243e-01 4.833205207093504430e-01 4.925837756515345500e-01 2.492518109672718918e-01 2.449728663912599802e-01 3.066708066304608682e-01 3.062818045369373188e-01 3.123005055494771365e-01 3.092280773491912771e-01 1.116402973525062094e+02 3.092669545391344421e-01 1.096570442507371723e+02 3.063810458649789403e-01 1.103906130706428854e+02 1.107832963096878274e+02 1.102718168078975509e+02 1.541361925671914435e+02 4.918943816916623746e+00 2.405919595928814658e+00 1.233326935166189964e+00 5.558955489017307627e+01 2.458301209072464744e+00 1.549427270792232303e+00 9.231719862918972286e-01
3.116330071157845660e-01 2.260968015345944382e-01 -3.000859246131418884e-03 3.141102894255233258e-01 4.278051627612637353e-01 6.096775251320107891e-01 9.877961500937865180e-01 1.888938112992069318e-01 4.187429662077149506e-01 -6.772646896499160185e+00 5.793405612514603842e-01 1.846962410075678562e+01 4.504684286479039845e-01 1.852811166764552908e+01 1.704061679918540184e+00 1.143461019227308070e-02 6.903048889449662795e+01 6.175351485981835253e+00 1.744094434282524197e+00 1.089439267183197391e+00 8.814587008110488853e+01 3.028812879915887546e-02 8.058637187546792424e-02 2.347688186322247350e-01 4.736989017928357470e-01 4.749638714451774879e-01 2.449654305090921136e-01 2.407206137678195024e-01 3.008303219533643436e-01 2.939971676972516490e-01 2.983883904921255659e-01 3.058624311090061276e-01 1.098958694442760304e+02 2.998929250415800496e-01 1.057877509052360523e+02 2.955507544058910696e-01 1.064826642812866453e+02 1.066148300244004616e+02 1.089145880619077360e+02 1.489704945601202724e+02 4.793418193084358236e+00 2.359554401003400415e+00 1.205654228514321913e+00 5.442706992826019530e+01 2.415945031371107721e+00 1.501168226553113216e+00 8.992325514204168035e-01
3.440173695027570200e-01 3.510906039905264397e-01 9.106750000040519932e-02 3.978139427934949679e-01 5.205065029271372934e-01 6.362209988663192206e-01 8.927917940742182701e-01 2.036431273370654937e-01 5.502412025674106033e-01 3.402657519709958223e+01 5.111644795230695371e-01 4.625687283878485800e+01 4.804749885523820763e-01 2.257749060912449579e+01 3.572504971494800063e+00 1.532614668080822007e+01 4.543893383085831061e+01 5.001694031611749303e+00 2.518381928172860995e+00 1.222418491592655032e+00 9.815515906784582967e+01 1.543154164350905688e+00 2.293015254146283169e-02 2.390753788538439450e-01 4.832874860569388309e-01 4.810191466302214947e-01 2.496576434398703470e-01 2.425448772959049870e-01 3.034853237312283292e-01 3.034894828789250210e-01 3.031852981901805855e-01 3.124290878137604976e-01 1.117477215091522282e+02 3.057862283003651704e-01 1.082071068212967759e+02 2.987641067242116089e-01 1.095702687718769255e+02 1.079211198737375099e+02 1.091651467616731708e+02 1.507556944325702943e+02 4.800546611391178331e+00 2.386495571288959283e+00 1.212958305305034790e+00 5.433340851862769938e+01 2.497564602926290345e+00 1.535826175971175767e+00 9.149508229246777757e-01
4.559903569163333281e-01 3.215064820982918015e-01 5.530006128402022159e-02 4.437381262210762789e-01 5.767373140686655741e-01 7.817237919216442066e-01 9.687165832796698073e-01 1.625485879366687092e-01 5.958691071957745722e-01 1.080557787665938108e+01 6.105044737551877931e-01 1.598901915751529756e+01 4.972271330201482598e-01 3.101921323988987567e+01 4.201168728485083648e+01 7.903550536096086887e+01 3.854737886143190195e+01 3.677636286118444175e+00 2.616050352899774722e+00 1.209639805014311342e+00 1.200243743679125714e+02 2.641780603899218871e+00 4.139967894701874762e-01 2.591672419357312074e-01 5.286555417686059632e-01 5.164624337128506104e-01 2.658688495157771059e-01 2.599764610895652917e-01 3.290543828430010365e-01 3.287713770467684538e-01 3.215519445595403925e-01 3.333333333333333148e-01 1.194457660377313886e+02 3.282479625556662395e-01 1.168825239844103834e+02 3.230214613399164381e-01 1.180207045029406032e+02 1.159581668674610029e+02 1.179656627533948381e+02 1.581764399029936499e+02 5.140627967354022054e+00 2.558396579800794157e+00 1.305122022138894167e+00 5.817887176468026666e+01 2.666666666666666075e+00 1.649050420422638830e+00 9.856573046541504679e-01
5.230405979826463492e-01 2.636468557609614738e-01 -1.610266618255028507e-03 4.374438801607805072e-01 6.049041984217139456e-01 9.942575022936301909e-01 9.209743634151461578e-01 2.928842625999978910e-01 4.429544105988978409e-01 -7.059457029974035436e+01 5.405226497717673384e-01 5.536364049882490690e+01 3.952348122537192032e-01 4.114306838023425428e+01 9.535394973909812677e+01 1.171229669198054495e+02 4.863405047433304418e+01 2.998688643402848797e+00 2.326116452578112170e+00 1.272650324306145109e+00 1.183143738577485067e+02 2.661494312505467974e+00 7.976532477824428424e-01 2.666666666666666630e-01 5.333333333333333259e-01 5.333333333333333259e-01 2.666666666666666630e-01 2.666666666666666630e-01 3.333333333333333703e-01 3.333333333333333148e-01 3.333333333333333148e-01 3.333333333333333148e-01 1.200000000000000000e+02 3.333333333333333148e-01 1.199999999999999858e+02 3.333333333333333148e-01 1.199999999999999858e+02 1.200000000000000000e+02 1.199999999999999858e+02 1.666666666666666288e+02 5.333333333333333925e+00 2.666666666666666519e+00 1.333333333333333259e+00 5.999999999999999289e+01 2.666666666666666519e+00 1.666666666666666519e+00 1.095264092310551884e+00
4.995238423434980035e-01 2.940821045977929926e-01 -1.467888306047944180e-01 5.835269235704938495e-01 6.488807331005314039e-01 9.192699751143108555e-01 9.985656991082761946e-01 3.886582978406138977e-01 5.271363873493151164e-01 -4.348910292809073042e+01 4.827354388318283451e-01 8.900643889856310409e+01 4.787158634441219807e-01 2.318774324184301605e+01 7.647682220118502983e+01 9.180715691286469848e+01 2.238271578485839797e+01 5.071791667184627483e-01 2.688012129154625729e+00 1.084001558532467602e+00 9.443382542779416156e+01 2.733558287534777698e+00 1.125192761926448348e+00 2.666666666666666075e-01 5.333333333333332149e-01 5.305992925133672378e-01 2.666666666666666075e-01 2.666666666666666075e-01 3.333333333333333703e-01 3.333333333333333703e-01 3.333333333333333703e-01 3.333333333333333703e-01 1.200000000000000000e+02 3.333333333333333703e-01 1.200000000000000000e+02 3.333333333333333703e-01 1.200000000000000000e+02 1.199999999999999574e+02 1.200000000000000000e+02 1.666666666666666572e+02 5.333333333333333037e+00 2.666666666666666519e+00 1.333333333333333259e+00 5.999999999999997868e+01 2.666666666666666963e+00 1.666666666666666075e+00 1.120870745944024582e+00
5.861386351678682383e-01 1.687650543129226854e-01 -2.599821022514217095e-01 5.629226061960327376e-01 7.441032707039780814e-01 9.657549651205123986e-01 9.518319454958389381e-01 3.536163484243464161e-01 6.325302801465909619e-01 -2.178720679653546100e+01 6.416066399471589410e-01 4.845100042478429714e+01 3.268257123554597632e-01 7.013156579557036707e+01 1.042372869040579957e+02 8.067297015222504797e+01 5.674246567850194367e+01 1.456009784724168199e+00 2.011376768782509483e+00 1.406126631427458085e+00 9.412200853891738461e+01 2.613631042495564660e+00 5.508624501702391596e-01 2.666666666666666075e-01 5.333333333333332149e-01 5.220379292158684459e-01 2.664129334426809659e-01 2.666666666666666075e-01 3.333333333333333703e-01 3.306819518066445585e-01 3.333333333333333148e-01 3.333333333333333148e-01 1.200000000000000284e+02 3.333333333333333148e-01 1.199999999999999858e+02 3.329240648299446881e-01 1.200000000000000000e+02 1.191672139552794931e+02 1.192904143082376294e+02 1.666666666666666003e+02 5.296999023713344634e+00 2.608367913761176826e+00 1.324214015758931939e+00 6.000000000000000000e+01 2.666666666666666963e+00 1.658300305643381822e+00 1.121129657542656144e+00
6.259423171358716731e-01 4.285383975931898043e-02 -1.792351292755961778e-01 5.533345677258313389e-01 7.402979294016173162e-01 8.595545033420276537e-01 9.879260424940972118e-01 4.412551238537905651e-01 6.108324533540451240e-01 -3.319068794728097771e+01 5.066657060536797763e-01 7.760502389524044986e+01 3.453087813390956495e-01 4.835576716418616172e+01 8.286152970007142926e+01 1.026443719260997085e+02 1.731666325275832463e+01 2.194889168581758199e+00 1.328199437115520354e+00 9.977292752155627609e-01 9.360341320917348185e+01 1.596273852201138155e+00 9.527987928925478744e-01 2.622463894844796473e-01 5.117237047901200819e-01 5.093069212440467508e-01 2.619021379274642514e-01 2.550380050359780104e-01 3.291508367132147117e-01 3.246082639081789289e-01 3.246576433466628053e-01 3.248377392333507419e-01 1.165652425180439309e+02 3.256919772657989598e-01 1.165766723234056030e+02 3.263109638532751267e-01 1.162270988680678556e+02 1.147433366420799388e+02 1.160330280137249161e+02 1.618653004211095947e+02 5.184785949577273456e+00 2.516435039150180408e+00 1.312121458589050160e+00 5.948242629292753492e+01 2.631717278744398314e+00 1.630853005071896566e+00 1.093518491639728030e+00
6.070273940786948819e-01 -8.331388009355590596e-02 -6.166098581144160290e-02 5.269332426120882928e-01 7.422639496805372161e-01 7.628854664862994017e-01 9.981186788397803378e-01 4.146959183072403410e-01 7.471528170985215489e-01 1.709459571312919479e+01 3.742616687880721549e-01 1.152790784391750094e+02 3.465311888357081593e-01 5.499436649633063467e+01 3.970258551571126304e+01 1.467798312350890910e+02 1.538514143292771807e+00 4.314998644283199347e+00 1.292671472505625641e+00 8.681264447451888522e-01 8.705122755848321958e+01 1.165172947231646772e+00 7.190042739676119066e-01 2.666666666666666630e-01 5.242641496216396968e-01 5.203621374935488708e-01 2.666666666666666630e-01 2.613361745751728304e-01 3.333333333333332593e-01 3.275761326613458313e-01 3.274325421192227914e-01 3.333333333333333703e-01 1.176491847185504298e+02 3.309567386162168834e-01 1.184200012926796575e+02 3.321160566462406094e-01 1.192363208537016277e+02 1.180776331186032877e+02 1.189842101945322099e+02 1.644712674584662011e+02 5.250592574557161996e+00 2.529800984910746564e+00 1.320821359265381911e+00 5.999999999999999289e+01 2.666666666666666519e+00 1.666666666666666519e+00 1.117586130213534146e+00
