# bottom_clearance_mean xplace_mean yplace_mean impeller/height_ratio_mean impeller/diameter_ratio_mean impeller/0/place_rel_mean impeller/0/xlen_rel_mean impeller/0/ylen_rel_mean impeller/0/joint_place_mean impeller/0/joint_angle_mean impeller/0/lean_place_mean impeller/0/lean_angle_mean impeller/0/turn_place_mean impeller/0/turn_angle_mean impeller/0/twist_mean impeller/0/helix_mean impeller/0/curl_mean impeller/0/around_number_mean impeller/0/repeat_number_mean impeller/0/repeat_heights_equal_mean impeller/0/repeat_angles_bias_mean impeller/fidgetsurface/0/alpha1_mean impeller/fidgetsurface/0/beta1_mean bottom_clearance_std xplace_std yplace_std impeller/height_ratio_std impeller/diameter_ratio_std impeller/0/place_rel_std impeller/0/xlen_rel_std impeller/0/ylen_rel_std impeller/0/joint_place_std impeller/0/joint_angle_std impeller/0/lean_place_std impeller/0/lean_angle_std impeller/0/turn_place_std impeller/0/turn_angle_std impeller/0/twist_std impeller/0/helix_std impeller/0/curl_std impeller/0/around_number_std impeller/0/repeat_number_std impeller/0/repeat_heights_equal_std impeller/0/repeat_angles_bias_std impeller/fidgetsurface/0/alpha1_std impeller/fidgetsurface/0/beta1_std overall_std
9.374999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.901781249999999535e-01 1.046874999999999778e+00 1.492499999999999938e+00 2.015000000000000124e+00 7.499999999999999722e-03 1.250000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.375000000000000000e-01 3.125000000000000000e-01 1.250000000000000000e+00 1.250000000000000000e+00 0.000000000000000000e+00 4.999999999999998369e-03 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.000000000000000000e+00
9.512840414255107069e-01 5.389509297879870042e-02 -2.195196804782543198e-01 6.000929726399474307e-01 9.958649871751423799e-01 1.402894012002528390e+00 2.043232193868673274e+00 2.741278343998315714e-01 1.310826126303121342e+00 -2.870649121514612032e-02 1.514054772649881642e+00 2.639344576871965886e-01 1.068789034978905317e+00 9.716927595132657247e-02 1.504358369555928721e-01 2.217540671040140188e-01 4.329474271248270334e-01 1.020811144397808956e+00 4.058810258723873909e-01 9.576820999983911564e-01 1.189397521687013626e+00 5.414431054977991709e-02 5.613596509623519637e-02 7.488752627155649266e-01 7.551883136083599179e-01 7.696621494555225818e-01 7.789119092727244675e-01 7.655402074726872508e-01 7.666770165761520595e-01 7.657045113423432969e-01 7.807512638736927579e-01 7.730701933729781095e-01 7.752798427257375780e-01 7.731673863478359943e-01 7.615072517412303510e-01 7.659526146624473508e-01 7.666014796572422352e-01 7.693284465950543938e-01 7.657765056103996715e-01 7.706809628359572173e-01 7.685849713932224603e-01 7.518498737277544697e-01 7.708293344788686996e-01 7.720771512524038371e-01 7.682191278351451214e-01 7.747136353961161515e-01 9.231719862918972286e-01
9.738531472368265884e-01 3.532762523978037472e-01 -4.688842572080340922e-03 9.815946544547602404e-01 1.336891133628948847e+00 1.524193812830026751e+00 2.469490375234466129e+00 4.722345282480173156e-01 1.046857415519287349e+00 -4.703227011457750129e-02 1.448351403128650849e+00 1.282612784774776749e-01 1.126171071619759934e+00 1.286674421364272791e-01 1.183376166610097292e-02 7.940701522411861750e-05 3.451524444724831109e-01 9.648986696846617583e-01 5.450295107132887562e-01 6.808995419894983137e-01 1.224248195570901254e+00 9.465040249737148581e-03 4.029318593773396212e-02 7.336525582257021894e-01 7.401545340513057125e-01 7.421310491330896930e-01 7.655169703409127058e-01 7.522519180244358061e-01 7.520758048834107479e-01 7.349929192431290392e-01 7.459709762303138314e-01 7.646560777725153191e-01 7.631657600296946065e-01 7.497323126039501240e-01 7.346371590641392890e-01 7.388768860147276740e-01 7.394629463978239503e-01 7.403807640583365268e-01 7.563513059854704013e-01 7.448524728006012952e-01 7.489715926694309189e-01 7.373607503135626295e-01 7.535338928214511123e-01 7.559315267813916384e-01 7.549828223034711350e-01 7.505841132765566082e-01 8.992325514204168035e-01
1.075054279696115556e+00 5.485790687351974615e-01 1.422929687506331031e-01 1.243168571229671615e+00 1.626582821647303723e+00 1.590552497165798052e+00 2.231979485185545453e+00 5.091078183426637205e-01 1.375603006418526508e+00 2.362956610909693334e-01 1.277911198807673676e+00 3.212282836026726374e-01 1.201187471380955163e+00 1.567881292300312146e-01 2.480906230204722382e-02 1.064315741722793029e-01 2.271946691542915397e-01 7.815146924393358008e-01 7.869943525540189500e-01 7.640115572454093673e-01 1.363266098164525486e+00 4.822356763596580276e-01 1.146507627073141584e-02 7.471105589182621687e-01 7.551366969639667914e-01 7.515924166097209813e-01 7.801801357495946609e-01 7.579527415497029352e-01 7.587133093280707952e-01 7.587237071973125246e-01 7.579632454754513526e-01 7.810727195344011609e-01 7.760258438135571035e-01 7.644655707509128151e-01 7.514382418145609810e-01 7.469102668105289666e-01 7.609046442491452789e-01 7.494522213453993498e-01 7.580912969560636983e-01 7.537784721628515427e-01 7.500854080298715587e-01 7.457798660277997760e-01 7.580989408156466602e-01 7.546306738698291827e-01 7.804889384144656495e-01 7.679130879855878833e-01 9.149508229246777757e-01
1.424969865363541421e+00 5.023538782785808010e-01 8.640634575628157454e-02 1.386681644440863170e+00 1.802304106464579725e+00 1.954309479804110516e+00 2.421791458199174407e+00 4.063714698416717175e-01 1.489672767989436375e+00 7.503873525457903371e-02 1.526261184387969427e+00 1.110348552605228967e-01 1.243067832550370566e+00 2.154112030547908063e-01 2.917478283670196793e-01 5.488576761177837993e-01 1.927368943071595120e-01 5.746306697060068469e-01 8.175157352811794897e-01 7.560248781339444779e-01 1.667005199554341344e+00 8.255564387185058139e-01 2.069983947350937381e-01 8.098976310491597941e-01 8.260242840134467412e-01 8.069725526763288359e-01 8.308401547368032825e-01 8.124264409048913560e-01 8.226359571075024801e-01 8.219284426169211066e-01 8.038798613988509256e-01 8.333333333333332593e-01 8.294844863731346551e-01 8.206199063891655987e-01 8.116841943361832179e-01 8.075536533497910119e-01 8.195882257148653371e-01 8.052650476907013966e-01 8.192059913430197460e-01 7.908821995149681872e-01 8.032231198990659182e-01 7.994989311877481741e-01 8.157012638368088542e-01 8.080398856205592839e-01 8.333333333333331483e-01 8.245252102113194148e-01 9.856573046541504679e-01
1.634501868695769522e+00 4.119482121265022334e-01 -2.516041591023481568e-03 1.367012125502438780e+00 1.890325620067855761e+00 2.485643755734075366e+00 2.302435908537865394e+00 7.322106564999947276e-01 1.107386026497244602e+00 -4.902400715259746522e-01 1.351306624429418290e+00 3.844697256862840695e-01 9.880870306342979248e-01 2.857157526405156300e-01 6.621802065215147692e-01 8.133539369430934363e-01 2.431702523716652298e-01 4.685451005316951245e-01 7.269113914306600810e-01 7.954064526913405819e-01 1.643255192468729309e+00 8.317169726579586309e-01 3.988266238912214212e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333331483e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333331483e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.095264092310551884e+00
1.561012007323431039e+00 4.595032884340514712e-01 -2.293575478199912365e-01 1.823521636157792836e+00 2.027752290939160318e+00 2.298174937785776972e+00 2.496414247770690320e+00 9.716457446015346333e-01 1.317840968373287680e+00 -3.020076592228522760e-01 1.206838597079570752e+00 6.181002701289104451e-01 1.196789658610304841e+00 1.610259947350209386e-01 5.310890430637849047e-01 6.375497007837825914e-01 1.119135789242919898e-01 7.924674479975979402e-02 8.400037903608205125e-01 6.775009740827921956e-01 1.311580908719363281e+00 8.542369648546179750e-01 5.625963809632241741e-01 8.333333333333330373e-01 8.333333333333330373e-01 8.290613945521362327e-01 8.333333333333330373e-01 8.333333333333330373e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.333333333333330373e-01 8.333333333333333703e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333330373e-01 8.333333333333333703e-01 8.333333333333330373e-01 1.120870745944024582e+00
1.831683234899587731e+00 2.636953973639416526e-01 -4.062220347678463517e-01 1.759133144362601930e+00 2.325322720949931199e+00 2.414387412801280774e+00 2.379579863739597290e+00 8.840408710608660403e-01 1.581325700366477349e+00 -1.513000471981629236e-01 1.604016599867897241e+00 3.364652807276687363e-01 8.170642808886493524e-01 4.870247624692387034e-01 7.238700479448472169e-01 5.602289593904516973e-01 2.837123283925097050e-01 2.275015288631512533e-01 6.285552402445342413e-01 8.788291446421612196e-01 1.307250118596074762e+00 8.167597007798639286e-01 2.754312250851195798e-01 8.333333333333330373e-01 8.333333333333330373e-01 8.156842643997943565e-01 8.325404170083777755e-01 8.333333333333330373e-01 8.333333333333333703e-01 8.267048795166113129e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333334814e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.323101620748616369e-01 8.333333333333333703e-01 8.275500969116631467e-01 8.284056549183168583e-01 8.333333333333330373e-01 8.276560974552100713e-01 8.151149730503677304e-01 8.276337598493324066e-01 8.333333333333333703e-01 8.333333333333333703e-01 8.291501528216909112e-01 1.121129657542656144e+00
1.956069741049598631e+00 6.695912462393589781e-02 -2.800548894931189636e-01 1.729170524143222476e+00 2.313431029380053516e+00 2.148886258355068968e+00 2.469815106235242919e+00 1.103137809634476385e+00 1.527081133385112643e+00 -2.304908885227845705e-01 1.266664265134199496e+00 5.389237770502809388e-01 8.632719533477390961e-01 3.358039386401816540e-01 5.754272895838293822e-01 7.128081383756924572e-01 8.658331626379162094e-02 3.429514325908997185e-01 4.150623240986001106e-01 6.235807970097266839e-01 1.300047405682964952e+00 4.988355788128556734e-01 4.763993964462739372e-01 8.195199671389986618e-01 7.995682887345624268e-01 7.957920644438228885e-01 8.184441810233256120e-01 7.969937657374311923e-01 8.228770917830366960e-01 8.115206597704472946e-01 8.116441083666569023e-01 8.120943480833767714e-01 8.094808508197495200e-01 8.142299431644973717e-01 8.095602244680945025e-01 8.157774096331877889e-01 8.071326310282489480e-01 7.968287266811107106e-01 8.057849167619786090e-01 8.093265021055480180e-01 8.101228046214489220e-01 7.863859497344313221e-01 8.200759116181562947e-01 8.261448096239935035e-01 8.224116496076244731e-01 8.154265025359482832e-01 1.093518491639728030e+00
1.896960606495921242e+00 -1.301779376461810744e-01 -9.634529033037748935e-02 1.646666383162775693e+00 2.319574842751678467e+00 1.907213666215748393e+00 2.495296697099450789e+00 1.036739795768100825e+00 1.867882042746303872e+00 1.187124702300638573e-01 9.356541719701803039e-01 8.005491558276042197e-01 8.663279720892703706e-01 3.819053228911849507e-01 2.757123994146615242e-01 1.019304383577007478e+00 7.692570716463858864e-03 6.742185381692498147e-01 4.039598351580079849e-01 5.425790279657429771e-01 1.209044827201155803e+00 3.641165460098895745e-01 3.595021369838059533e-01 8.333333333333331483e-01 8.191627337838118805e-01 8.130658398336698678e-01 8.333333333333331483e-01 8.166755455474149494e-01 8.333333333333331483e-01 8.189403316533645505e-01 8.185813552980568675e-01 8.333333333333333703e-01 8.170082272121557132e-01 8.273918465405422085e-01 8.223611200880531769e-01 8.302901416156014403e-01 8.280300059284835257e-01 8.199835633236339794e-01 8.262792374620292479e-01 8.223563372923310411e-01 8.204050897745565063e-01 7.905628077846081903e-01 8.255133495408636390e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.117586130213534146e+00
